;;;;;;;;;سعودي;سعودي;سعودي;غير سعودي;غير سعودي;غير سعودي;المجموع;المجموع;المجموع;NA
YR;SS;DS;IT;IN;CO;SE;SP;SSYS;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;GE
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية البدنية;الإدارة الرياضية;ماجستير;12;0;12;0;0;0;12;0;12;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية البدنية;الإدارة الرياضية;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية البدنية;الإدارة الرياضية;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية البدنية;الإدارة الرياضية;جملة;12;0;12;0;0;0;12;0;12;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية البدنية;التربية البدنية ;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية البدنية;التربية البدنية ;ماجستير;3;0;3;0;0;0;3;0;3;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية البدنية;التربية البدنية ;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية البدنية;التربية البدنية ;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية البدنية;التربية البدنية ;جملة;3;0;3;0;0;0;3;0;3;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الفنية;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
